年月別,機關別,全年度預算數/金額[千元],全年度預算數/百分比[%],累計分配數/金額[千元],累計分配數/占預算數[%],累計執行數/金額[千元],累計執行數/占預算數[%],累計執行數/占分配數[%]
101年5月,財政局,4355233,2.36,1695940,38.94,1640449,37.67,96.73
101年5月,教育局,57476783,31.18,28384114,49.38,26197423,45.58,92.3
101年5月,產業發展局,2709084,1.47,1154785,42.63,996862,36.8,86.32
101年5月,工務局,16069565,8.72,4753415,29.58,3543140,22.05,74.54
101年5月,交通局,6194557,3.36,2774989,44.8,2288730,36.95,82.48
101年5月,社會局,16002515,8.68,5903395,36.89,5006222,31.28,84.8
101年5月,勞動局,28664441,15.55,11745709,40.98,11673504,40.72,99.39
101年5月,警察局,13075369,7.09,6649336,50.85,5679280,43.43,85.41
101年5月,衛生局,4711770,2.56,1562431,33.16,1460592,31,93.48
101年5月,環境保護局,6839655,3.71,3275159,47.88,3012040,44.04,91.97
101年5月,都市發展局,3196892,1.73,1624334,50.81,1483199,46.4,91.31
101年5月,文化局,3341599,1.81,1115911,33.39,754302,22.57,67.6
101年5月,消防局,2777515,1.51,1360656,48.99,1206334,43.43,88.66
101年5月,翡翠水庫管理局,293770,0.16,114403,38.94,102398,34.86,89.51
101年5月,觀光傳播局,539043,0.29,159297,29.55,139097,25.8,87.32
101年5月,地政局,1155430,0.63,561542,48.6,515202,44.59,91.75
101年5月,兵役局,175691,0.1,95338,54.26,73228,41.68,76.81
101年5月,臺北自來水事業處,394995,0.21,371838,94.14,371793,94.13,99.99
101年5月,體育局,-,-,-,--,-,--,--
101年5月,資訊局,-,-,-,--,-,--,--
101年5月,法務局,-,-,-,--,-,--,--
101年5月,捷運工程局,-,-,-,-,-,-,--
101年5月,統籌支撥科目,7128517,3.87,4094060,57.43,2367082,33.21,57.82
101年5月,第二預備金,496735,0.27,-,-,-,-,--
101年6月,總計,184318265,100,94207348,51.11,84930643,46.08,90.15
101年6月,市議會,809757,0.44,449908,55.56,380626,47.01,84.6
101年6月,市政府,5423608,2.94,2842426,52.41,2403515,44.32,84.56
101年6月,民政局,2494572,1.35,1296718,51.98,1121190,44.95,86.46
101年6月,財政局,4355233,2.36,2780560,63.84,2730128,62.69,98.19
101年6月,教育局,57476783,31.18,33303058,57.94,30750338,53.5,92.33
101年6月,產業發展局,2709084,1.47,1334104,49.25,1098455,40.55,82.34
101年6月,工務局,16069565,8.72,6061315,37.72,4485760,27.91,74.01
101年6月,交通局,6195384,3.36,3171253,51.19,2613816,42.19,82.42
101年6月,社會局,16002515,8.68,7335221,45.84,6579322,41.11,89.69
101年6月,勞動局,28664441,15.55,12206334,42.58,12126093,42.3,99.34
101年6月,警察局,13075369,7.09,7654704,58.54,6518908,49.86,85.16
101年6月,衛生局,4711770,2.56,1912859,40.6,1792222,38.04,93.69
101年6月,環境保護局,6839655,3.71,3723651,54.44,3415830,49.94,91.73
101年6月,都市發展局,3197482,1.73,1699250,53.14,1572741,49.19,92.56
101年6月,文化局,3341599,1.81,1302024,38.96,886061,26.52,68.05
101年6月,消防局,2777515,1.51,1560263,56.17,1374429,49.48,88.09
101年6月,翡翠水庫管理局,294202,0.16,134393,45.68,120575,40.98,89.72
101年6月,觀光傳播局,539043,0.29,194515,36.09,171465,31.81,88.15
101年6月,地政局,1155430,0.63,640494,55.43,587945,50.89,91.8
101年6月,兵役局,175691,0.1,109099,62.1,92955,52.91,85.2
101年6月,臺北自來水事業處,394995,0.21,373218,94.49,372233,94.24,99.74
101年6月,體育局,-,-,-,--,-,--,--
101年6月,資訊局,-,-,-,--,-,--,--
101年6月,法務局,-,-,-,--,-,--,--
101年6月,捷運工程局,-,-,-,-,-,-,--
101年6月,統籌支撥科目,7128517,3.87,4121982,57.82,3736036,52.41,90.64
101年6月,第二預備金,486055,0.26,-,-,-,-,--
101年7月,總計,184318265,100,111171190,60.31,99788008,54.14,89.76
101年7月,市議會,809757,0.44,514384,63.52,441531,54.53,85.84
101年7月,市政府,5423608,2.94,3336338,61.52,2792944,51.5,83.71
101年7月,民政局,2498272,1.36,1525858,61.08,1289531,51.62,84.51
101年7月,財政局,4355233,2.36,3478245,79.86,3413452,78.38,98.14
101年7月,教育局,57476783,31.18,40412346,70.31,37977687,66.07,93.98
101年7月,產業發展局,2709084,1.47,1531073,56.52,1221155,45.08,79.76
101年7月,工務局,16069565,8.72,7294136,45.39,5015141,31.21,68.76
101年7月,交通局,6195384,3.36,3550223,57.3,2863402,46.22,80.65
101年7月,社會局,16002515,8.68,8591898,53.69,7404494,46.27,86.18
101年7月,勞動局,28664441,15.55,12546684,43.77,12426252,43.35,99.04
101年7月,警察局,13075369,7.09,8736894,66.82,7388497,56.51,84.57
101年7月,衛生局,4711770,2.56,2709547,57.51,2564894,54.44,94.66
101年7月,環境保護局,6839655,3.71,4194151,61.32,3831630,56.02,91.36
101年7月,都市發展局,3197886,1.73,1776366,55.55,1636762,51.18,92.14
101年7月,文化局,3341599,1.81,1491540,44.64,1100863,32.94,73.81
101年7月,消防局,2777515,1.51,1752169,63.08,1547012,55.7,88.29
101年7月,翡翠水庫管理局,294202,0.16,158013,53.71,143356,48.73,90.72
101年7月,觀光傳播局,539043,0.29,249335,46.26,204776,37.99,82.13
101年7月,地政局,1155430,0.63,717257,62.08,656006,56.78,91.46
101年7月,兵役局,175691,0.1,120370,68.51,105065,59.8,87.29
101年7月,臺北自來水事業處,394995,0.21,373218,94.49,372233,94.24,99.74
101年7月,體育局,-,-,-,--,-,--,--
101年7月,資訊局,-,-,-,--,-,--,--
101年7月,法務局,-,-,-,--,-,--,--
101年7月,捷運工程局,-,-,-,-,-,-,--
101年7月,統籌支撥科目,7128517,3.87,6111144,85.73,5391326,75.63,88.22
101年7月,第二預備金,481951,0.26,-,-,-,-,--
101年8月,總計,184318265,100,124237236,67.4,110507572,59.95,88.95
101年8月,市議會,809757,0.44,583600,72.07,494421,61.06,84.72
101年8月,市政府,5423608,2.94,3742921,69.01,3131587,57.74,83.67
101年8月,民政局,2498272,1.36,1747404,69.94,1445349,57.85,82.71
101年8月,財政局,4355233,2.36,3566242,81.88,3503165,80.44,98.23
101年8月,教育局,56419172,30.61,44678292,79.19,42133519,74.68,94.3
101年8月,產業發展局,2709084,1.47,1633955,60.31,1318917,48.68,80.72
101年8月,工務局,16069565,8.72,8569824,53.33,5954586,37.06,69.48
101年8月,交通局,6195384,3.36,4053387,65.43,3279393,52.93,80.9
101年8月,社會局,16002515,8.68,10038957,62.73,8494439,53.08,84.61
101年8月,勞動局,28664441,15.55,12622448,44.04,12502937,43.62,99.05
101年8月,警察局,13075369,7.09,9668258,73.94,8294286,63.43,85.79
101年8月,衛生局,4711770,2.56,3277784,69.57,3131639,66.46,95.54
101年8月,環境保護局,6839655,3.71,4774676,69.81,4373236,63.94,91.59
101年8月,都市發展局,3191020,1.73,1863549,58.4,1714384,53.73,92
101年8月,文化局,3341599,1.81,2818842,84.36,1250849,37.43,44.37
101年8月,消防局,2781979,1.51,1956870,70.34,1727924,62.11,88.3
101年8月,翡翠水庫管理局,294202,0.16,177470,60.32,163805,55.68,92.3
101年8月,觀光傳播局,539043,0.29,297431,55.18,238384,44.22,80.15
101年8月,地政局,1155430,0.63,791393,68.49,723918,62.65,91.47
101年8月,兵役局,175691,0.1,131502,74.85,114959,65.43,87.42
101年8月,臺北自來水事業處,394995,0.21,379218,96.01,378247,95.76,99.74
101年8月,體育局,1057611,0.57,705295,66.69,571634,54.05,81.05
101年8月,資訊局,-,-,-,--,-,--,--
101年8月,法務局,-,-,-,--,-,--,--
101年8月,捷運工程局,-,-,-,-,-,-,--
101年8月,統籌支撥科目,7128517,3.87,6157917,86.38,5565994,78.08,90.39
101年8月,第二預備金,484353,0.26,-,-,-,-,--
101年9月,總計,184318265,100,139185811,75.51,121733315,66.05,87.46
101年9月,市議會,809757,0.44,648976,80.14,542274,66.97,83.56
101年9月,市政府,5423608,2.94,4170044,76.89,3519393,64.89,84.4
101年9月,民政局,2500672,1.36,2004709,80.17,1609080,64.35,80.26
101年9月,財政局,4355233,2.36,3651928,83.85,3584978,82.31,98.17
101年9月,教育局,56419172,30.61,49040479,86.92,46274347,82.02,94.36
101年9月,產業發展局,2712324,1.47,1987878,73.29,1446508,53.33,72.77
101年9月,工務局,16111583,8.74,10235297,63.53,7186783,44.61,70.22
101年9月,交通局,6205954,3.37,4566374,73.58,3586386,57.79,78.54
101年9月,社會局,16002515,8.68,11300582,70.62,9602185,60,84.97
101年9月,勞動局,28664441,15.55,14691517,51.25,12562217,43.83,85.51
101年9月,警察局,13075369,7.09,10656019,81.5,9124297,69.78,85.63
101年9月,衛生局,4711770,2.56,3761053,79.82,3621351,76.86,96.29
101年9月,環境保護局,6839655,3.71,5306751,77.59,4793201,70.08,90.32
101年9月,都市發展局,3203234,1.74,2959702,92.4,2791897,87.16,94.33
101年9月,文化局,3364139,1.83,2961700,88.04,1375530,40.89,46.44
101年9月,消防局,2781979,1.51,2157209,77.54,1908169,68.59,88.46
101年9月,翡翠水庫管理局,294202,0.16,211641,71.94,189041,64.26,89.32
101年9月,觀光傳播局,539043,0.29,356112,66.06,275344,51.08,77.32
101年9月,地政局,1155430,0.63,864088,74.78,793539,68.68,91.84
101年9月,兵役局,175691,0.1,149119,84.88,134251,76.41,90.03
101年9月,臺北自來水事業處,394995,0.21,380598,96.36,379317,96.03,99.66
101年9月,體育局,1057611,0.57,875774,82.81,775514,73.33,88.55
101年9月,資訊局,-,-,-,--,-,--,--
101年9月,法務局,-,-,-,--,-,--,--
101年9月,捷運工程局,-,-,-,-,-,-,--
101年9月,統籌支撥科目,7128517,3.87,6248260,87.65,5657715,79.37,90.55
101年9月,第二預備金,391371,0.21,-,-,-,-,--
101年10月,總計,184318265,100,149591915,81.16,132240425,71.75,88.4
101年10月,市議會,809757,0.44,711952,87.92,598801,73.95,84.11
101年10月,市政府,4750824,2.58,4101627,86.34,3577439,75.3,87.22
101年10月,民政局,2600491,1.41,2163900,83.21,1773064,68.18,81.94
101年10月,財政局,4355233,2.36,3753068,86.17,3663045,84.11,97.6
101年10月,教育局,56416372,30.61,52575689,93.19,49898074,88.45,94.91
101年10月,產業發展局,2712091,1.47,2305305,85,1741325,64.21,75.54
101年10月,工務局,16111583,8.74,11838074,73.48,8357872,51.87,70.6
101年10月,交通局,6205954,3.37,4925218,79.36,3917405,63.12,79.54
101年10月,社會局,16002515,8.68,12571457,78.56,10789801,67.43,85.83
101年10月,勞動局,28664441,15.55,14751949,51.46,13508107,47.12,91.57
101年10月,警察局,13075369,7.09,11618654,88.86,9933784,75.97,85.5
101年10月,衛生局,4723381,2.56,4057097,85.89,3885857,82.27,95.78
101年10月,環境保護局,6849155,3.72,5813696,84.88,5236578,76.46,90.07
101年10月,都市發展局,3210223,1.74,3061252,95.36,2889337,90,94.38
101年10月,文化局,3364139,1.83,3106739,92.35,1492516,44.37,48.04
101年10月,消防局,2782466,1.51,2357252,84.72,2084660,74.92,88.44
101年10月,翡翠水庫管理局,294202,0.16,236383,80.35,220984,75.11,93.49
101年10月,觀光傳播局,539043,0.29,401277,74.44,307197,56.99,76.55
101年10月,地政局,1155430,0.63,937955,81.18,861160,74.53,91.81
101年10月,兵役局,175691,0.1,159863,90.99,146239,83.24,91.48
101年10月,臺北自來水事業處,394995,0.21,383098,96.99,381717,96.64,99.64
101年10月,體育局,1060411,0.58,948489,89.45,829955,78.27,87.5
101年10月,資訊局,521606,0.28,354482,67.96,270774,51.91,76.39
101年10月,法務局,150478,0.08,136523,90.73,110000,73.1,80.57
101年10月,捷運工程局,-,-,-,-,-,-,--
101年10月,統籌支撥科目,7128517,3.87,6320917,88.67,5764735,80.87,91.2
101年10月,第二預備金,263899,0.14,-,-,-,-,--
101年11月,總計,184318265,100,158925057,86.22,141189289,76.6,88.84
101年11月,市議會,809757,0.44,775898,95.82,655107,80.9,84.43
101年11月,市政府,4750824,2.58,4373628,92.06,3916173,82.43,89.54
101年11月,民政局,2602446,1.41,2397163,92.11,1965869,75.54,82.01
101年11月,財政局,4355233,2.36,3843133,88.24,3750427,86.11,97.59
101年11月,教育局,56416372,30.61,54811716,97.16,51974408,92.13,94.82
101年11月,產業發展局,2711791,1.47,2465077,90.9,1869876,68.95,75.85
101年11月,工務局,16111583,8.74,13393793,83.13,9324969,57.88,69.62
101年11月,交通局,6205927,3.37,5570697,89.76,4375016,70.5,78.54
101年11月,社會局,16002515,8.68,13969373,87.29,11978987,74.86,85.75
101年11月,勞動局,28664441,15.55,14804863,51.65,14672431,51.19,99.11
101年11月,警察局,13075369,7.09,12557092,96.04,10777984,82.43,85.83
101年11月,衛生局,4723381,2.56,4332341,91.72,4162092,88.12,96.07
101年11月,環境保護局,6852582,3.72,6313340,92.13,5714250,83.39,90.51
101年11月,都市發展局,3214070,1.74,3122641,97.16,2963784,92.21,94.91
101年11月,文化局,3365576,1.83,3241970,96.33,1637260,48.65,50.5
101年11月,消防局,2782466,1.51,2539770,91.28,2277978,81.87,89.69
101年11月,翡翠水庫管理局,294202,0.16,264996,90.07,250226,85.05,94.43
101年11月,觀光傳播局,539043,0.29,446231,82.78,346180,64.22,77.58
101年11月,地政局,1155430,0.63,990229,85.7,929210,80.42,93.84
101年11月,兵役局,175691,0.1,169982,96.75,153913,87.6,90.55
101年11月,臺北自來水事業處,394995,0.21,393017,99.5,386378,97.82,98.31
101年11月,體育局,1060411,0.58,1008684,95.12,857502,80.86,85.01
101年11月,資訊局,521596,0.28,399085,76.51,281852,54.04,70.62
101年11月,法務局,150478,0.08,145540,96.72,110000,73.1,75.58
101年11月,捷運工程局,-,-,-,-,-,-,--
101年11月,統籌支撥科目,7128517,3.87,6594798,92.51,5857418,82.17,88.82
101年11月,第二預備金,253570,0.14,-,-,-,-,--
101年12月,總計,186909764,100,186449212,99.75,170683608,91.32,91.54
101年12月,市議會,809757,0.43,804077,99.3,726334,89.7,90.33
101年12月,市政府,4796002,2.57,4793146,99.94,4536033,94.58,94.64
101年12月,民政局,2621618,1.4,2621559,100,2352123,89.72,89.72
101年12月,財政局,4368933,2.34,4368794,100,4244391,97.15,97.15
101年12月,教育局,56582606,30.27,56570727,99.98,56376381,99.64,99.66
101年12月,產業發展局,2892693,1.55,2892645,100,2490577,86.1,86.1
101年12月,工務局,16158086,8.64,16155710,99.99,13158185,81.43,81.45
101年12月,交通局,6347812,3.4,6347605,100,5816503,91.63,91.63
101年12月,社會局,17020135,9.11,17019514,100,14800369,86.96,86.96
101年12月,勞動局,28664441,15.34,28664211,100,24173226,84.33,84.33
101年12月,警察局,13155149,7.04,13151966,99.98,11883538,90.33,90.36
101年12月,衛生局,4821586,2.58,4821201,99.99,4699877,97.48,97.48
101年12月,環境保護局,6881518,3.68,6881518,100,6370072,92.57,92.57
101年12月,都市發展局,3394157,1.82,3393951,99.99,3267166,96.26,96.26
101年12月,文化局,3410558,1.82,3409121,99.96,2749912,80.63,80.66
101年12月,消防局,2793662,1.49,2792660,99.96,2517823,90.13,90.16
101年12月,翡翠水庫管理局,296242,0.16,296233,100,294530,99.42,99.43
101年12月,觀光傳播局,568378,0.3,568319,99.99,475334,83.63,83.64
101年12月,地政局,1182915,0.63,1182717,99.98,1119917,94.67,94.69
101年12月,兵役局,225463,0.12,225451,99.99,215308,95.5,95.5
101年12月,臺北自來水事業處,394995,0.21,394995,100,394771,99.94,99.94
101年12月,體育局,1635903,0.88,1635903,100,1442032,88.15,88.15
101年12月,資訊局,521572,0.28,521301,99.95,408689,78.36,78.4
101年12月,法務局,169277,0.09,169096,99.89,164132,96.96,97.06
101年12月,捷運工程局,-,-,-,100,-,-,-
101年12月,統籌支撥科目,7129317,3.81,6766791,94.92,6006386,84.25,88.76
101年12月,第二預備金,66989,0.04,-,--,-,-,--
102年1月,總計,173928137,100,25518412,14.67,22255342,12.8,87.21
102年1月,市議會,815167,0.47,154688,18.98,119646,14.68,77.35
102年1月,市政府,4818129,2.77,789489,16.39,612025,12.7,77.52
102年1月,民政局,2679061,1.54,401800,15,290715,10.85,72.35
102年1月,財政局,5248945,3.02,232228,4.42,203737,3.88,87.73
102年1月,教育局,57648408,33.14,12224594,21.21,12036339,20.88,98.46
102年1月,產業發展局,2440468,1.4,343486,14.07,308480,12.64,89.81
102年1月,工務局,15024620,8.64,926272,6.17,704933,4.69,76.1
102年1月,交通局,5899088,3.39,218663,3.71,152867,2.59,69.91
102年1月,社會局,15737844,9.05,1086033,6.9,958544,6.09,88.26
102年1月,勞動局,18946329,10.89,389800,2.06,346169,1.83,88.81
102年1月,警察局,12980379,7.46,2705686,20.84,2180810,16.8,80.6
102年1月,衛生局,4957528,2.85,242607,4.89,155464,3.14,64.08
102年1月,環境保護局,6814127,3.92,1532985,22.5,1176357,17.26,76.74
102年1月,都市發展局,1289427,0.74,435836,33.8,362851,28.14,83.25
102年1月,文化局,2991055,1.72,258322,8.64,212542,7.11,82.28
102年1月,消防局,2778965,1.6,497849,17.91,348156,12.53,69.93
102年1月,翡翠水庫管理局,305100,0.18,41788,13.7,28796,9.44,68.91
102年1月,觀光傳播局,511539,0.29,50527,9.88,45669,8.93,90.39
102年1月,地政局,1169435,0.67,260242,22.25,224511,19.2,86.27
102年1月,兵役局,183742,0.11,40214,21.89,33996,18.5,84.54
102年1月,臺北自來水事業處,164384,0.09,5000,3.04,-,-,--
102年1月,體育局,1482690,0.85,66874,4.51,27243,1.84,40.74
102年1月,資訊局,539783,0.31,26508,4.91,21663,4.01,81.72
102年1月,法務局,161850,0.09,36758,22.71,24674,15.25,67.13
102年1月,捷運工程局,-,-,-,-,-,-,--
102年1月,統籌支撥科目,7440073,4.28,2547732,34.24,1678199,22.56,65.87
102年1月,第二預備金,900000,0.52,2432,0.27,955,0.11,39.29
102年2月,總計,173928137,100,34957378,20.1,31489429,18.1,90.08
102年2月,市議會,815167,0.47,212406,26.06,162156,19.89,76.34
102年2月,市政府,4818129,2.77,1135105,23.56,961301,19.95,84.69
102年2月,民政局,2679061,1.54,567425,21.18,458800,17.13,80.86
102年2月,財政局,5256280,3.02,369493,7.03,335791,6.39,90.88
102年2月,教育局,57648408,33.14,15298152,26.54,15006865,26.03,98.1
102年2月,產業發展局,2440468,1.4,458802,18.8,419674,17.2,91.47
102年2月,工務局,15024620,8.64,1588876,10.58,1297444,8.64,81.66
102年2月,交通局,5900978,3.39,1666871,28.25,1605937,27.21,96.34
102年2月,社會局,15737844,9.05,2058694,13.08,1814985,11.53,88.16
102年2月,勞動局,18946329,10.89,448239,2.37,391568,2.07,87.36
102年2月,警察局,12980379,7.46,3696744,28.48,3155660,24.31,85.36
102年2月,衛生局,4957528,2.85,390606,7.88,254591,5.14,65.18
102年2月,環境保護局,6814127,3.92,1984001,29.12,1758447,25.81,88.63
102年2月,都市發展局,1290887,0.74,537769,41.66,442113,34.25,82.21
102年2月,文化局,2991055,1.72,422126,14.11,366251,12.24,86.76
102年2月,消防局,2778965,1.6,678627,24.42,600051,21.59,88.42
102年2月,翡翠水庫管理局,305100,0.18,58810,19.28,53660,17.59,91.24
102年2月,觀光傳播局,511539,0.29,74704,14.6,64915,12.69,86.9
102年2月,地政局,1169435,0.67,329750,28.2,302811,25.89,91.83
102年2月,兵役局,183742,0.11,52861,28.77,42965,23.38,81.28
102年2月,臺北自來水事業處,164384,0.09,10200,6.2,8919,5.43,87.45
102年2月,體育局,1482690,0.85,131040,8.84,47407,3.2,36.18
102年2月,資訊局,539783,0.31,104614,19.38,34219,6.34,32.71
102年2月,法務局,161850,0.09,47693,29.47,39012,24.1,81.8
102年2月,捷運工程局,-,-,-,-,-,-,--
102年2月,統籌支撥科目,7440073,4.28,2633770,35.4,1863887,25.05,70.77
102年2月,第二預備金,889315,0.51,-,-,-,-,--
102年3月,總計,173928137,100,51346720,29.52,46909294,26.97,91.36
102年3月,市議會,815167,0.47,280319,34.39,210940,25.88,75.25
102年3月,市政府,4818129,2.77,1482921,30.78,1264493,26.24,85.27
102年3月,民政局,2679061,1.54,777894,29.04,627084,23.41,80.61
102年3月,財政局,5256280,3.02,1151995,21.92,1115978,21.23,96.87
102年3月,教育局,57660758,33.15,18031501,31.27,17697654,30.69,98.15
102年3月,產業發展局,2440468,1.4,578499,23.7,514842,21.1,89
102年3月,工務局,15024620,8.64,2886894,19.21,2071258,13.79,71.75
102年3月,交通局,5900978,3.39,1994091,33.79,1785738,30.26,89.55
102年3月,社會局,15737844,9.05,3277080,20.82,3019698,19.19,92.15
102年3月,勞動局,18946329,10.89,6897712,36.41,6820817,36,98.89
102年3月,警察局,12980379,7.46,4628926,35.66,3942815,30.38,85.18
102年3月,衛生局,4957528,2.85,935604,18.87,762443,15.38,81.49
102年3月,環境保護局,6814127,3.92,2509860,36.83,2351934,34.52,93.71
102年3月,都市發展局,1290887,0.74,611053,47.34,536528,41.56,87.8
102年3月,文化局,2991055,1.72,605212,20.23,494960,16.55,81.78
102年3月,消防局,2778965,1.6,859651,30.93,752984,27.1,87.59
102年3月,翡翠水庫管理局,305100,0.18,76527,25.08,70224,23.02,91.76
102年3月,觀光傳播局,511539,0.29,97069,18.98,88599,17.32,91.27
102年3月,地政局,1169435,0.67,407731,34.87,373957,31.98,91.72
102年3月,兵役局,183742,0.11,66088,35.97,53724,29.24,81.29
102年3月,臺北自來水事業處,164384,0.09,154892,94.23,152509,92.78,98.46
102年3月,體育局,1482690,0.85,196810,13.27,83323,5.62,42.34
102年3月,資訊局,539783,0.31,124941,23.15,106736,19.77,85.43
102年3月,法務局,161850,0.09,59720,36.9,48637,30.05,81.44
102年3月,捷運工程局,-,-,-,-,-,-,--
102年3月,統籌支撥科目,7440073,4.28,2653731,35.67,1961421,26.36,73.91
102年3月,第二預備金,876965,0.5,-,-,-,-,--
102年4月,總計,173928137,100,62289147,35.81,57351368,32.97,92.07
102年4月,市議會,815167,0.47,339035,41.59,269104,33.01,79.37
102年4月,市政府,4822383,2.77,1852236,38.41,1579867,32.76,85.3
102年4月,民政局,2679061,1.54,955592,35.67,823575,30.74,86.18
102年4月,財政局,5256280,3.02,1314523,25.01,1269819,24.16,96.6
102年4月,教育局,57663466,33.15,20877298,36.21,20431835,35.43,97.87
102年4月,產業發展局,2440468,1.4,681622,27.93,591058,24.22,86.71
102年4月,工務局,15024620,8.64,3565802,23.73,2704216,18,75.84
102年4月,交通局,5900978,3.39,2366231,40.1,2204511,37.36,93.17
102年4月,社會局,15737844,9.05,4467561,28.39,4131430,26.25,92.48
102年4月,勞動局,18946329,10.89,9461997,49.94,9371818,49.47,99.05
102年4月,警察局,12980379,7.46,5529683,42.6,4729747,36.44,85.53
102年4月,衛生局,4971752,2.86,1352073,27.2,1151448,23.16,85.16
102年4月,環境保護局,6814127,3.92,2928890,42.98,2772653,40.69,94.67
102年4月,都市發展局,1290887,0.74,690282,53.47,595515,46.13,86.27
102年4月,文化局,2991055,1.72,721665,24.13,591928,19.79,82.02
102年4月,消防局,2778965,1.6,1057075,38.04,955895,34.4,90.43
102年4月,翡翠水庫管理局,305100,0.18,96799,31.73,88108,28.88,91.02
102年4月,觀光傳播局,511539,0.29,120734,23.6,106670,20.85,88.35
102年4月,地政局,1169435,0.67,489892,41.89,446212,38.16,91.08
102年4月,兵役局,183742,0.11,80645,43.89,63511,34.57,78.75
102年4月,臺北自來水事業處,164384,0.09,156892,95.44,154059,93.72,98.19
102年4月,體育局,1482690,0.85,269695,18.19,105010,7.08,38.94
102年4月,資訊局,539783,0.31,169982,31.49,138518,25.66,81.49
102年4月,法務局,161850,0.09,71154,43.96,59092,36.51,83.05
102年4月,捷運工程局,-,-,-,-,-,-,--
102年4月,統籌支撥科目,7440073,4.28,2671789,35.91,2015769,27.09,75.45
102年4月,第二預備金,855779,0.49,-,-,-,-,--
102年5月,總計,173928137,100,73101482,42.03,66016562,37.96,90.31
102年5月,市議會,815167,0.47,397301,48.74,328862,40.34,82.77
102年5月,市政府,4822383,2.77,2194400,45.5,1900251,39.4,86.6
102年5月,民政局,2679061,1.54,1216973,45.43,1041170,38.86,85.55
102年5月,財政局,5254803,3.02,1822867,34.69,1760941,33.51,96.6
102年5月,教育局,57663466,33.15,23891891,41.43,23328731,40.46,97.64
102年5月,產業發展局,2440468,1.4,861531,35.3,750766,30.76,87.14
102年5月,工務局,15024620,8.64,4394735,29.25,3457320,23.01,78.67
102年5月,交通局,5900978,3.39,2786789,47.23,2570601,43.56,92.24
102年5月,社會局,15737844,9.05,5588315,35.51,5176047,32.89,92.62
102年5月,勞動局,18949399,10.89,9526824,50.28,9427610,49.75,98.96
102年5月,警察局,12980379,7.46,6473458,49.87,5530718,42.61,85.44
102年5月,衛生局,4971752,2.86,1825174,36.71,1582858,31.84,86.72
102年5月,環境保護局,6814127,3.92,3389220,49.74,3203339,47.01,94.52
102年5月,都市發展局,1290887,0.74,761251,58.97,655827,50.8,86.15
102年5月,文化局,2991055,1.72,933565,31.21,699736,23.39,74.95
102年5月,消防局,2778965,1.6,1234667,44.43,1135681,40.87,91.98
102年5月,翡翠水庫管理局,305100,0.18,115277,37.78,105848,34.69,91.82
102年5月,觀光傳播局,511539,0.29,154481,30.2,133126,26.02,86.18
102年5月,地政局,1169435,0.67,571448,48.87,520138,44.48,91.02
102年5月,兵役局,183742,0.11,104179,56.7,78653,42.81,75.5
102年5月,臺北自來水事業處,164384,0.09,158392,96.35,154759,94.14,97.71
102年5月,體育局,1492262,0.86,346806,23.24,171862,11.52,49.56
102年5月,資訊局,539783,0.31,207650,38.47,169176,31.34,81.47
102年5月,法務局,161850,0.09,83076,51.33,69224,42.77,83.33
102年5月,捷運工程局,-,-,-,-,-,-,--
102年5月,統籌支撥科目,7440073,4.28,4061213,54.59,2063318,27.73,50.81
102年5月,第二預備金,844613,0.49,-,-,-,-,--
102年6月,總計,173928137,100,86538337,49.76,79493409,45.7,91.86
102年6月,市議會,815167,0.47,456067,55.95,392022,48.09,85.96
102年6月,市政府,4824583,2.77,2565352,53.17,2195367,45.5,85.58
102年6月,民政局,2679061,1.54,1435601,53.59,1286392,48.02,89.61
102年6月,財政局,5254803,3.02,3307708,62.95,3242995,61.71,98.04
102年6月,教育局,57663466,33.15,29358901,50.91,28686382,49.75,97.71
102年6月,產業發展局,2485668,1.43,1112014,44.74,862092,34.68,77.53
102年6月,工務局,15068016,8.66,5575680,37,4257633,28.26,76.36
102年6月,交通局,5900978,3.39,3101134,52.55,2822433,47.83,91.01
102年6月,社會局,15737844,9.05,6970581,44.29,6512914,41.38,93.43
102年6月,勞動局,18949399,10.89,9588564,50.6,9481470,50.04,98.88
102年6月,警察局,12980379,7.46,7468094,57.53,6348228,48.91,85
102年6月,衛生局,5007292,2.88,2184965,43.64,1943252,38.81,88.94
102年6月,環境保護局,6814127,3.92,3827108,56.16,3591806,52.71,93.85
102年6月,都市發展局,1290887,0.74,839159,65.01,716990,55.54,85.44
102年6月,文化局,2991055,1.72,1121052,37.48,835023,27.92,74.49
102年6月,消防局,2778965,1.6,1474701,53.07,1320310,47.51,89.53
102年6月,翡翠水庫管理局,305100,0.18,134876,44.21,123346,40.43,91.45
102年6月,觀光傳播局,511539,0.29,186913,36.54,155333,30.37,83.1
102年6月,地政局,1169435,0.67,653672,55.9,593729,50.77,90.83
102年6月,兵役局,183742,0.11,116488,63.4,88608,48.22,76.07
102年6月,臺北自來水事業處,164384,0.09,160707,97.76,157348,95.72,97.91
102年6月,體育局,1492262,0.86,451993,30.29,219005,14.68,48.45
102年6月,資訊局,539783,0.31,232016,42.98,188962,35.01,81.44
102年6月,法務局,161850,0.09,95376,58.93,79263,48.97,83.11
102年6月,捷運工程局,-,-,-,-,-,-,--
102年6月,統籌支撥科目,7440073,4.28,4119617,55.37,3392505,45.6,82.35
102年6月,第二預備金,718278,0.41,-,-,-,-,--
