年月別,機關別,全年度預算數/金額[千元],全年度預算數/百分比[%],累計分配數/金額[千元],累計分配數/占預算數[%],累計執行數/金額[千元],累計執行數/占預算數[%],累計執行數/占分配數[%]
98年11月,兵役局,173856,0.11,169399,97.44,150502,86.57,88.85
98年11月,臺北自來水事業處,57351,0.04,53680,93.6,33453,58.33,62.32
98年11月,體育局,-,-,-,--,-,--,--
98年11月,資訊局,-,-,-,--,-,--,--
98年11月,法務局,-,-,-,--,-,--,--
98年11月,捷運工程局,-,-,-,--,-,--,--
98年11月,統籌支撥科目,6658750,4.34,6046608,90.81,5188695,77.92,85.81
98年11月,第二預備金,108458,0.07,-,-,-,-,--
98年12月,總計,160974649,100,160472428,99.69,155523116,96.61,96.92
98年12月,市議會,742869,0.46,738263,99.38,689716,92.84,93.42
98年12月,市政府,5106130,3.17,5105061,99.98,4947535,96.89,96.91
98年12月,民政局,1967748,1.22,1967748,100,1900786,96.6,96.6
98年12月,財政局,6450404,4.01,6450170,100,6403055,99.27,99.27
98年12月,教育局,56276432,34.96,56262313,99.97,55509806,98.64,98.66
98年12月,產業發展局,8886559,5.52,8886274,100,8726280,98.2,98.2
98年12月,工務局,19291737,11.98,19290884,100,18212537,94.41,94.41
98年12月,交通局,4696546,2.92,4695241,99.97,4575482,97.42,97.45
98年12月,社會局,13292949,8.26,13292948,100,12135278,91.29,91.29
98年12月,勞動局,6105058,3.79,6105058,100,6030028,98.77,98.77
98年12月,警察局,12819267,7.96,12818684,100,12568298,98.04,98.05
98年12月,衛生局,4369203,2.71,4368708,99.99,4323692,98.96,98.97
98年12月,環境保護局,6100794,3.79,6100477,99.99,6002212,98.38,98.39
98年12月,都市發展局,1389348,0.86,1388750,99.96,1313084,94.51,94.55
98年12月,文化局,1722425,1.07,1722390,100,1667415,96.81,96.81
98年12月,消防局,2321347,1.44,2321307,100,2290042,98.65,98.65
98年12月,翡翠水庫管理局,330438,0.21,330315,99.96,299376,90.6,90.63
98年12月,觀光傳播局,557976,0.35,557966,100,523033,93.74,93.74
98年12月,地政局,1117133,0.69,1117131,100,1094157,97.94,97.94
98年12月,兵役局,233111,0.14,233110,100,218230,93.62,93.62
98年12月,臺北自來水事業處,530351,0.33,530351,100,522687,98.55,98.55
98年12月,體育局,-,-,-,--,-,--,--
98年12月,資訊局,-,-,-,--,-,--,--
98年12月,法務局,-,-,-,--,-,--,--
98年12月,捷運工程局,-,-,-,--,-,--,--
98年12月,統籌支撥科目,6658750,4.14,6189279,92.95,5570386,83.66,90
98年12月,第二預備金,8074,0.01,-,-,-,-,--
99年1月,總計,165251417,100,25737120,15.57,18540639,11.22,72.04
99年1月,市議會,750567,0.45,151736,20.22,55403,7.38,36.51
99年1月,市政府,5069591,3.07,726883,14.34,428031,8.44,58.89
99年1月,民政局,2140540,1.3,253562,11.85,135097,6.31,53.28
99年1月,財政局,4876406,2.95,530351,10.88,115608,2.37,21.8
99年1月,教育局,53457824,32.35,12036099,22.52,11947704,22.35,99.27
99年1月,產業發展局,5246921,3.18,88687,1.69,93893,1.79,105.87
99年1月,工務局,20137873,12.19,2023901,10.05,383717,1.91,18.96
99年1月,交通局,5523904,3.34,383001,6.93,275371,4.99,71.9
99年1月,社會局,13173603,7.97,1240140,9.41,709650,5.39,57.22
99年1月,勞動局,14569617,8.82,390417,2.68,63985,0.44,16.39
99年1月,警察局,12787456,7.74,2103048,16.45,1133604,8.86,53.9
99年1月,衛生局,4543345,2.75,145252,3.2,87711,1.93,60.39
99年1月,環境保護局,6249783,3.78,1366145,21.86,536303,8.58,39.26
99年1月,都市發展局,1704890,1.03,233224,13.68,115037,6.75,49.32
99年1月,文化局,2317770,1.4,667498,28.8,545044,23.52,81.65
99年1月,消防局,2514683,1.52,535833,21.31,219877,8.74,41.03
99年1月,翡翠水庫管理局,296860,0.18,32065,10.8,15718,5.29,49.02
99年1月,觀光傳播局,838010,0.51,49446,5.9,21924,2.62,44.34
99年1月,地政局,1119392,0.68,237343,21.2,117524,10.5,49.52
99年1月,兵役局,175861,0.11,38960,22.15,23101,13.14,59.29
99年1月,臺北自來水事業處,83025,0.05,-,-,-,-,--
99年1月,體育局,-,-,-,--,-,--,--
99年1月,資訊局,-,-,-,--,-,--,--
99年1月,法務局,-,-,-,--,-,--,--
99年1月,捷運工程局,3500,0,-,-,-,-,-
99年1月,統籌支撥科目,6769999,4.1,2503529,36.98,1516337,22.4,60.57
99年1月,第二預備金,900000,0.54,-,-,-,-,--
99年2月,總計,165251417,100,38998664,23.6,32364694,19.59,82.99
99年2月,市議會,750567,0.45,207346,27.63,153576,20.46,74.07
99年2月,市政府,5069591,3.07,1171554,23.11,986273,19.45,84.18
99年2月,民政局,2140540,1.3,462425,21.6,360559,16.84,77.97
99年2月,財政局,4880372,2.95,760073,15.57,322837,6.61,42.47
99年2月,教育局,53457824,32.35,15292031,28.61,15098070,28.24,98.73
99年2月,產業發展局,5249043,3.18,799452,15.23,618715,11.79,77.39
99年2月,工務局,20137873,12.19,3651985,18.13,1766844,8.77,48.38
99年2月,交通局,5523904,3.34,1246916,22.57,941590,17.05,75.51
99年2月,社會局,13187603,7.98,2137619,16.21,1503311,11.4,70.33
99年2月,勞動局,14571111,8.82,1611845,11.06,696723,4.78,43.23
99年2月,警察局,12787456,7.74,3596623,28.13,3099486,24.24,86.18
99年2月,衛生局,4543345,2.75,1203480,26.49,1154963,25.42,95.97
99年2月,環境保護局,6249783,3.78,2012413,32.2,1648889,26.38,81.94
99年2月,都市發展局,1704890,1.03,290166,17.02,244596,14.35,84.3
99年2月,文化局,2317770,1.4,801221,34.57,692452,29.88,86.42
99年2月,消防局,2514683,1.52,684956,27.24,564332,22.44,82.39
99年2月,翡翠水庫管理局,296860,0.18,57497,19.37,50134,16.89,87.19
99年2月,觀光傳播局,838010,0.51,71226,8.5,59231,7.07,83.16
99年2月,地政局,1119392,0.68,320363,28.62,291767,26.06,91.07
99年2月,兵役局,175861,0.11,51743,29.42,42641,24.25,82.41
99年2月,臺北自來水事業處,83025,0.05,53000,63.84,53000,63.84,100
99年2月,體育局,-,-,-,--,-,--,--
99年2月,資訊局,-,-,-,--,-,--,--
99年2月,法務局,-,-,-,--,-,--,--
99年2月,捷運工程局,3500,0,-,-,-,-,--
99年2月,統籌支撥科目,6769999,4.1,2514730,37.15,2014704,29.76,80.12
99年2月,第二預備金,878418,0.53,-,-,-,-,--
99年3月,總計,165251417,100,53200076,32.19,40108625,24.27,75.39
99年3月,市議會,750567,0.45,266471,35.5,195700,26.07,73.44
99年3月,市政府,5073372,3.07,1575523,31.05,1353207,26.67,85.89
99年3月,民政局,2140540,1.3,601977,28.12,468877,21.9,77.89
99年3月,財政局,4889588,2.96,860314,17.59,399217,8.16,46.4
99年3月,教育局,53457824,32.35,17591547,32.91,15098070,28.24,85.83
99年3月,產業發展局,5250360,3.18,1221654,23.27,880638,16.77,72.09
99年3月,工務局,20137873,12.19,5829851,28.95,3409707,16.93,58.49
99年3月,交通局,5525070,3.34,1633840,29.57,1282506,23.21,78.5
99年3月,社會局,13187603,7.98,3169518,24.03,2551148,19.35,80.49
99年3月,勞動局,14571111,8.82,6194673,42.51,2166346,14.87,34.97
99年3月,警察局,12787456,7.74,4467719,34.94,3887226,30.4,87.01
99年3月,衛生局,4547070,2.75,1291657,28.41,1228171,27.01,95.08
99年3月,環境保護局,6249783,3.78,2450764,39.21,2066817,33.07,84.33
99年3月,都市發展局,1704890,1.03,958541,56.22,903711,53.01,94.28
99年3月,文化局,2317770,1.4,989783,42.7,781207,33.71,78.93
99年3月,消防局,2514683,1.52,840177,33.41,715986,28.47,85.22
99年3月,翡翠水庫管理局,296860,0.18,74860,25.22,64993,21.89,86.82
99年3月,觀光傳播局,838010,0.51,128555,15.34,90301,10.78,70.24
99年3月,地政局,1119392,0.68,397355,35.5,362523,32.39,91.23
99年3月,兵役局,175861,0.11,66914,38.05,54604,31.05,81.6
99年3月,臺北自來水事業處,83025,0.05,54300,65.4,54299,65.4,100
99年3月,體育局,-,-,-,--,-,--,--
99年3月,資訊局,-,-,-,--,-,--,--
99年3月,法務局,-,-,-,--,-,--,--
99年3月,捷運工程局,3500,0,-,-,-,-,--
99年3月,統籌支撥科目,6769999,4.1,2534084,37.43,2093371,30.92,82.61
99年3月,第二預備金,859211,0.52,-,-,-,-,--
99年4月,總計,165251417,100,63976286,38.71,47191710,28.56,73.76
99年4月,市議會,750567,0.45,321381,42.82,242654,32.33,75.5
99年4月,市政府,5079721,3.07,1956495,38.52,1710933,33.68,87.45
99年4月,民政局,2140540,1.3,753608,35.21,596288,27.86,79.12
99年4月,財政局,4889588,2.96,1041904,21.31,947238,19.37,90.91
99年4月,教育局,53457824,32.35,20305163,37.98,15098070,28.24,74.36
99年4月,產業發展局,5250360,3.18,1487945,28.34,958354,18.25,64.41
99年4月,工務局,20137873,12.19,7549044,37.49,3979851,19.76,52.72
99年4月,交通局,5525070,3.34,2075660,37.57,1705247,30.86,82.15
99年4月,社會局,13187603,7.98,4270429,32.38,3520716,26.7,82.44
99年4月,勞動局,14572352,8.82,6582270,45.17,4306619,29.55,65.43
99年4月,警察局,12787456,7.74,5366438,41.97,4672275,36.54,87.06
99年4月,衛生局,4547070,2.75,1544504,33.97,1294488,28.47,83.81
99年4月,環境保護局,6249783,3.78,2947785,47.17,2529171,40.47,85.8
99年4月,都市發展局,1715990,1.04,1035810,60.36,964199,56.19,93.09
99年4月,文化局,2317770,1.4,1139916,49.18,893014,38.53,78.34
99年4月,消防局,2514683,1.52,1013448,40.3,870813,34.63,85.93
99年4月,翡翠水庫管理局,296860,0.18,91350,30.77,81086,27.31,88.76
99年4月,觀光傳播局,841387,0.51,167933,19.96,113970,13.55,67.87
99年4月,地政局,1119392,0.68,472413,42.2,434641,38.83,92
99年4月,兵役局,175861,0.11,77900,44.3,64375,36.61,82.64
99年4月,臺北自來水事業處,83025,0.05,54300,65.4,54299,65.4,100
99年4月,體育局,-,-,-,--,-,--,--
99年4月,資訊局,-,-,-,--,-,--,--
99年4月,法務局,-,-,-,--,-,--,--
99年4月,捷運工程局,3500,0,10,0.29,-,-,-
99年4月,統籌支撥科目,6769999,4.1,3720580,54.96,2153411,31.81,57.88
99年4月,第二預備金,837144,0.51,-,-,-,-,--
99年5月,總計,165251417,100,75186243,45.5,54182449,32.79,72.06
99年5月,市議會,750567,0.45,404051,53.83,297816,39.68,73.71
99年5月,市政府,5079721,3.07,2330185,45.87,2044929,40.26,87.76
99年5月,民政局,2140540,1.3,886297,41.41,724043,33.83,81.69
99年5月,財政局,4889588,2.96,1864654,38.14,1735721,35.5,93.09
99年5月,教育局,53457824,32.35,23544304,44.04,15098070,28.24,64.13
99年5月,產業發展局,5292795,3.2,2009868,37.97,1406711,26.58,69.99
99年5月,工務局,20137873,12.19,8800661,43.7,4638579,23.03,52.71
99年5月,交通局,5530170,3.35,2511519,45.41,2079170,37.6,82.79
99年5月,社會局,13187603,7.98,5321578,40.35,4477410,33.95,84.14
99年5月,勞動局,14573552,8.82,6968346,47.82,4701065,32.26,67.46
99年5月,警察局,12787456,7.74,6219862,48.64,5447141,42.6,87.58
99年5月,衛生局,4547070,2.75,2564285,56.39,2467642,54.27,96.23
99年5月,環境保護局,6249783,3.78,3394546,54.31,2949926,47.2,86.9
99年5月,都市發展局,1715990,1.04,1109412,64.65,1023888,59.67,92.29
99年5月,文化局,2321300,1.4,1287395,55.46,996527,42.93,77.41
99年5月,消防局,2514683,1.52,1181866,47,1035554,41.18,87.62
99年5月,翡翠水庫管理局,296860,0.18,109644,36.93,96288,32.44,87.82
99年5月,觀光傳播局,841387,0.51,243645,28.96,147009,17.47,60.34
99年5月,地政局,1119392,0.68,547019,48.87,505127,45.13,92.34
99年5月,兵役局,175861,0.11,95211,54.14,78034,44.37,81.96
99年5月,臺北自來水事業處,83025,0.05,57056,68.72,54458,65.59,95.45
99年5月,體育局,-,-,-,--,-,--,--
99年5月,資訊局,-,-,-,--,-,--,--
99年5月,法務局,-,-,-,--,-,--,--
99年5月,捷運工程局,3500,0,20,0.57,-,-,-
99年5月,統籌支撥科目,6769999,4.1,3734819,55.17,2177340,32.16,58.3
99年5月,第二預備金,784879,0.47,-,-,-,-,--
99年6月,總計,165251417,100,88392025,53.49,73639678,44.56,83.31
99年6月,市議會,750567,0.45,457961,61.02,352696,46.99,77.01
99年6月,市政府,5087341,3.08,2878950,56.59,2377449,46.73,82.58
99年6月,民政局,2145910,1.3,1027113,47.86,838535,39.08,81.64
99年6月,財政局,4889588,2.96,2882985,58.96,2724346,55.72,94.5
99年6月,教育局,53457824,32.35,26899337,50.32,26551977,49.67,98.71
99年6月,產業發展局,5338341,3.23,2260388,42.34,1590123,29.79,70.35
99年6月,工務局,20137873,12.19,11025686,54.75,6263078,31.1,56.8
99年6月,交通局,5530170,3.35,2814318,50.89,2307526,41.73,81.99
99年6月,社會局,13187603,7.98,6208565,47.08,5391488,40.88,86.84
99年6月,勞動局,14573552,8.82,7368573,50.56,5086417,34.9,69.03
99年6月,警察局,12787456,7.74,7327548,57.3,6320243,49.43,86.25
99年6月,衛生局,4547070,2.75,2660325,58.51,2548646,56.05,95.8
99年6月,環境保護局,6249783,3.78,3866995,61.87,3351398,53.62,86.67
99年6月,都市發展局,1717034,1.04,1184980,69.01,1088390,63.39,91.85
99年6月,文化局,2321300,1.4,1458094,62.81,1134255,48.86,77.79
99年6月,消防局,2514683,1.52,1368221,54.41,1202398,47.82,87.88
99年6月,翡翠水庫管理局,296860,0.18,132761,44.72,112571,37.92,84.79
99年6月,觀光傳播局,841387,0.51,299300,35.57,176630,20.99,59.01
99年6月,地政局,1119392,0.68,633305,56.58,579096,51.73,91.44
99年6月,兵役局,175861,0.11,107666,61.22,90147,51.26,83.73
99年6月,臺北自來水事業處,83025,0.05,66256,79.8,55660,67.04,84.01
99年6月,體育局,-,-,-,--,-,--,--
99年6月,資訊局,-,-,-,--,-,--,--
99年6月,法務局,-,-,-,--,-,--,--
99年6月,捷運工程局,3500,0,3300,94.29,-,-,-
99年6月,統籌支撥科目,6769999,4.1,5459397,80.64,3496608,51.65,64.05
99年6月,第二預備金,725299,0.44,-,-,-,-,--
99年7月,總計,165251417,100,102725677,62.16,87716598,53.08,85.39
99年7月,市議會,750567,0.45,514571,68.56,401173,53.45,77.96
99年7月,市政府,5094757,3.08,3314122,65.05,2720778,53.4,82.1
99年7月,民政局,2145910,1.3,1199905,55.92,957992,44.64,79.84
99年7月,財政局,4889588,2.96,3493685,71.45,3316144,67.82,94.92
99年7月,教育局,53457824,32.35,33142286,62,33003963,61.74,99.58
99年7月,產業發展局,5419034,3.28,2833018,52.28,1823447,33.65,64.36
99年7月,工務局,20137873,12.19,12267261,60.92,7091144,35.21,57.81
99年7月,交通局,5530170,3.35,3132020,56.64,2658565,48.07,84.88
99年7月,社會局,13187603,7.98,7231888,54.84,6678408,50.64,92.35
99年7月,勞動局,14573552,8.82,8519878,58.46,5476980,37.58,64.28
99年7月,警察局,12787456,7.74,8205490,64.17,7169438,56.07,87.37
99年7月,衛生局,4552350,2.75,2786871,61.22,2652055,58.26,95.16
99年7月,環境保護局,6249783,3.78,4340478,69.45,3776944,60.43,87.02
99年7月,都市發展局,1720630,1.04,1278417,74.3,1157996,67.3,90.58
99年7月,文化局,2321300,1.4,1623161,69.92,1257092,54.15,77.45
99年7月,消防局,2514683,1.52,1575890,62.67,1363325,54.21,86.51
99年7月,翡翠水庫管理局,296860,0.18,157300,52.99,137121,46.19,87.17
99年7月,觀光傳播局,841387,0.51,377415,44.86,228728,27.18,60.6
99年7月,地政局,1119392,0.68,704234,62.91,653594,58.39,92.81
99年7月,兵役局,175861,0.11,118492,67.38,101634,57.79,85.77
99年7月,臺北自來水事業處,83025,0.05,68356,82.33,59247,71.36,86.67
99年7月,體育局,-,-,-,--,-,--,--
99年7月,資訊局,-,-,-,--,-,--,--
99年7月,法務局,-,-,-,--,-,--,--
99年7月,捷運工程局,3500,0,3320,94.86,-,-,-
99年7月,統籌支撥科目,6769999,4.1,5837619,86.23,5030829,74.31,86.18
99年7月,第二預備金,628315,0.38,-,-,-,-,--
99年8月,總計,165251417,100,115053866,69.62,99231875,60.05,86.25
99年8月,市議會,750567,0.45,568181,75.7,449882,59.94,79.18
99年8月,市政府,5094662,3.08,3698635,72.6,3049336,59.85,82.44
99年8月,民政局,2141252,1.3,1568324,73.24,1286708,60.09,82.04
99年8月,財政局,4891288,2.96,3600193,73.6,3416170,69.84,94.89
99年8月,教育局,53457824,32.35,37765043,70.64,37475424,70.1,99.23
99年8月,產業發展局,5452893,3.3,3171013,58.15,1940946,35.59,61.21
99年8月,工務局,20137873,12.19,13454030,66.81,8097083,40.21,60.18
